名次,国家或地区,金牌数,银牌数,铜牌数,奖牌总数
1,中国,51,21,28,100
2,美国,36,38,36,110
3,俄罗斯,23,21,28,72
4,英国,19,13,15,47
5,德国,16,10,15,41
6,澳大利亚,14,15,17,46
7,韩国,13,10,8,31
8,日本,9,6,10,25
9,意大利,8,10,10,28
10,法国,7,16,17,40
11,乌克兰,7,5,15,27
12,荷兰,7,5,4,16
13,牙买加,6,3,2,11
14,西班牙,5,10,3,18
15,肯尼亚,5,5,4,14
16,白俄罗斯,4,5,10,19
17,罗马尼亚,4,1,3,8
18,埃塞俄比亚,4,1,2,7
19,加拿大,3,9,6,18
20,波兰,3,6,1,10
21,匈牙利,3,5,2,10
21,挪威,3,5,2,10
23,巴西,3,4,8,15
24,捷克,3,3,0,6
25,斯洛伐克,3,2,1,6
26,新西兰,3,1,5,9
27,格鲁吉亚,3,0,3,6
28,古巴,2,11,11,24
29,哈萨克斯坦,2,4,7,13
30,丹麦,2,2,3,7
31,蒙古,2,2,0,4
31,泰国,2,2,0,4
33,朝鲜,2,1,3,6
34,阿根廷,2,0,4,6
34,瑞士,2,0,4,6
36,墨西哥,2,0,1,3
37,土耳其,1,4,3,8
38,津巴布韦,1,3,0,4
39,阿塞拜疆,1,2,4,7
40,乌兹别克斯坦,1,2,3,6
41,斯洛文尼亚,1,2,2,5
42,保加利亚,1,1,3,5
42,印度尼西亚,1,1,3,5
44,芬兰,1,1,2,4
45,拉脱维亚,1,1,1,3
46,比利时,1,1,0,2
46,多米尼加,1,1,0,2
46,爱沙尼亚,1,1,0,2
46,葡萄牙,1,1,0,2
50,印度,1,0,2,3
51,伊朗,1,0,1,2
52,巴林,1,0,0,1
52,喀麦隆,1,0,0,1
52,巴拿马,1,0,0,1
52,突尼斯,1,0,0,1
56,瑞典,0,4,1,5
57,克罗地亚,0,2,3,5
57,立陶宛,0,2,3,5
59,希腊,0,2,2,4
60,特立尼达和多巴哥,0,2,0,2
61,尼日利亚,0,1,3,4
62,奥地利,0,1,2,3
62,爱尔兰,0,1,2,3
62,塞尔维亚,0,1,2,3
65,阿尔及利亚,0,1,1,2
65,巴哈马,0,1,1,2
65,哥伦比亚,0,1,1,2
65,吉尔吉斯斯坦,0,1,1,2
65,摩洛哥,0,1,1,2
65,塔吉克斯坦,0,1,1,2
71,智利,0,1,0,1
71,厄瓜多尔,0,1,0,1
71,冰岛,0,1,0,1
71,马来西亚,0,1,0,1
71,南非,0,1,0,1
71,新加坡,0,1,0,1
71,苏丹,0,1,0,1
71,越南,0,1,0,1
79,亚美尼亚,0,0,6,6
80,中华台北,0,0,4,4
81,阿富汗,0,0,1,1
81,埃及,0,0,1,1
81,以色列,0,0,1,1
81,摩尔多瓦,0,0,1,1
81,毛里求斯,0,0,1,1
81,多哥,0,0,1,1
81,委内瑞拉,0,0,1,1
总计,　,302,303,353,958
